resourceinstanceidfrom,relationshiptype,resourceinstanceidto,dateended,notes
5f14c20b-7eff-4f4b-b36a-6ae1080b49df,http://www.cidoc-crm.org/cidoc-crm/P67,924c5d07-e71b-418c-a315-0afdc3bcc2e8,,
5f14c20b-7eff-4f4b-b36a-6ae1080b49df,http://www.cidoc-crm.org/cidoc-crm/P67,3e18fc36-1987-4e45-8d77-bfacd91e95d3,,
4aca231a-43f6-437f-9c67-2c70155a6007,http://www.cidoc-crm.org/cidoc-crm/P67,5a07db82-a951-44e2-b466-8577a9139a4d,,
4aca231a-43f6-437f-9c67-2c70155a6007,http://www.cidoc-crm.org/cidoc-crm/P67,924c5d07-e71b-418c-a315-0afdc3bcc2e8,,
4aca231a-43f6-437f-9c67-2c70155a6007,http://www.cidoc-crm.org/cidoc-crm/P67,3e18fc36-1987-4e45-8d77-bfacd91e95d3,,
efa7f929-fae1-4c2b-8145-1cb03b0deeb0,http://www.cidoc-crm.org/cidoc-crm/P67,5a07db82-a951-44e2-b466-8577a9139a4d,,
efa7f929-fae1-4c2b-8145-1cb03b0deeb0,http://www.cidoc-crm.org/cidoc-crm/P67,924c5d07-e71b-418c-a315-0afdc3bcc2e8,,
efa7f929-fae1-4c2b-8145-1cb03b0deeb0,http://www.cidoc-crm.org/cidoc-crm/P67,3e18fc36-1987-4e45-8d77-bfacd91e95d3,,
eafb7b51-3d61-4212-945d-ce9fb1bdf356,http://www.cidoc-crm.org/cidoc-crm/P67,5a07db82-a951-44e2-b466-8577a9139a4d,,
eafb7b51-3d61-4212-945d-ce9fb1bdf356,http://www.cidoc-crm.org/cidoc-crm/P67,924c5d07-e71b-418c-a315-0afdc3bcc2e8,,
61945150-20c9-4cc7-9c34-0d042ba7c455,http://www.cidoc-crm.org/cidoc-crm/P67,e08c2eb9-42ed-4cfb-9589-2002e57a6428,,
96666884-b16f-42fe-9d06-062e2e18dd60,http://www.cidoc-crm.org/cidoc-crm/P67,6e7016bb-ee60-48b6-b2d9-e24bd05c4bbf,,
7c84cc99-39c5-4381-9ba3-084ca0b54590,http://www.cidoc-crm.org/cidoc-crm/P67,6e7016bb-ee60-48b6-b2d9-e24bd05c4bbf,,
5962f7d8-913f-40da-80a3-f4a5a88d2cdd,http://www.cidoc-crm.org/cidoc-crm/P67,6e7016bb-ee60-48b6-b2d9-e24bd05c4bbf,,
5962f7d8-913f-40da-80a3-f4a5a88d2cdd,http://www.cidoc-crm.org/cidoc-crm/P67,8ae4ef24-3d17-4cd8-bd5b-65707a28bf07,,
a76f512c-0015-4e12-94de-ad6f51f89d70,http://www.cidoc-crm.org/cidoc-crm/P67,6e7016bb-ee60-48b6-b2d9-e24bd05c4bbf,,
b6fbdf92-2dc6-4ef7-bf3f-320d204d87da,http://www.cidoc-crm.org/cidoc-crm/P67,6e7016bb-ee60-48b6-b2d9-e24bd05c4bbf,,
096c59bb-c877-4af2-8ce1-2abd70626d22,http://www.cidoc-crm.org/cidoc-crm/P67,204f3bb0-0aa8-4a24-8c47-f4b046dda49a,,
